,treatment_cultivar,cultivar,variable,value_simulated,value_measured,experiment,position,calibration_code,plantgro_variables,overview_variables,calibration_method,short_label,long_label,treatment
189,WW23_G-7,ENTRY 7,Maximum leaf area index,6.7,6.7,CIOB2301 WH ROOTS ANATOMY,10,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
192,WW23_G-7,ENTRY 7,Canopy (tops) wt (kg dm/ha),16091.0,16066.0,CIOB2301 WH ROOTS ANATOMY,13,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
193,WW23_G-7,ENTRY 7,Vegetative wt (kg dm/ha),9425.0,9416.0,CIOB2301 WH ROOTS ANATOMY,14,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
203,WW23_G-7,ENTRY 7,Product N (kg/ha),149.6,123.9,CIOB2301 WH ROOTS ANATOMY,24,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
205,WW23_G-7,ENTRY 7,Product N (%),2.2,1.9,CIOB2301 WH ROOTS ANATOMY,26,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
211,WW23_G-8,ENTRY 8,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
212,WW23_G-8,ENTRY 8,Anthesis (DAP),104.0,104.0,CIOB2301 WH ROOTS ANATOMY,3,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
213,WW23_G-8,ENTRY 8,Maturity (DAP),146.0,146.0,CIOB2301 WH ROOTS ANATOMY,4,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
214,WW23_G-8,ENTRY 8,Product wt (kg dm/ha;no loss),4329.0,6393.0,CIOB2301 WH ROOTS ANATOMY,5,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
215,WW23_G-8,ENTRY 8,Product unit weight (g dm),0.028,0.041,CIOB2301 WH ROOTS ANATOMY,6,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
216,WW23_G-8,ENTRY 8,Product number (no/m2),15459.0,15446.0,CIOB2301 WH ROOTS ANATOMY,7,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
218,WW23_G-8,ENTRY 8,Product harvest index (ratio),0.28,0.31,CIOB2301 WH ROOTS ANATOMY,9,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
219,WW23_G-8,ENTRY 8,Maximum leaf area index,5.8,5.7,CIOB2301 WH ROOTS ANATOMY,10,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
222,WW23_G-8,ENTRY 8,Canopy (tops) wt (kg dm/ha),15654.0,20909.0,CIOB2301 WH ROOTS ANATOMY,13,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
223,WW23_G-8,ENTRY 8,Vegetative wt (kg dm/ha),11326.0,14516.0,CIOB2301 WH ROOTS ANATOMY,14,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
233,WW23_G-8,ENTRY 8,Product N (kg/ha),95.4,141.9,CIOB2301 WH ROOTS ANATOMY,24,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
235,WW23_G-8,ENTRY 8,Product N (%),2.2,2.2,CIOB2301 WH ROOTS ANATOMY,26,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
241,WW23_G-9,ENTRY 9,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
242,WW23_G-9,ENTRY 9,Anthesis (DAP),101.0,101.0,CIOB2301 WH ROOTS ANATOMY,3,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
243,WW23_G-9,ENTRY 9,Maturity (DAP),145.0,145.0,CIOB2301 WH ROOTS ANATOMY,4,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
244,WW23_G-9,ENTRY 9,Product wt (kg dm/ha;no loss),4718.0,6560.0,CIOB2301 WH ROOTS ANATOMY,5,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
245,WW23_G-9,ENTRY 9,Product unit weight (g dm),0.031,0.043,CIOB2301 WH ROOTS ANATOMY,6,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
246,WW23_G-9,ENTRY 9,Product number (no/m2),15417.0,15412.0,CIOB2301 WH ROOTS ANATOMY,7,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
248,WW23_G-9,ENTRY 9,Product harvest index (ratio),0.29,0.33,CIOB2301 WH ROOTS ANATOMY,9,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
249,WW23_G-9,ENTRY 9,Maximum leaf area index,5.9,5.8,CIOB2301 WH ROOTS ANATOMY,10,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
252,WW23_G-9,ENTRY 9,Canopy (tops) wt (kg dm/ha),16098.0,20154.0,CIOB2301 WH ROOTS ANATOMY,13,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
253,WW23_G-9,ENTRY 9,Vegetative wt (kg dm/ha),11380.0,13594.0,CIOB2301 WH ROOTS ANATOMY,14,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
263,WW23_G-9,ENTRY 9,Product N (kg/ha),104.6,131.8,CIOB2301 WH ROOTS ANATOMY,24,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
265,WW23_G-9,ENTRY 9,Product N (%),2.2,2.0,CIOB2301 WH ROOTS ANATOMY,26,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
271,WW23_G-10,ENTRY 10,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
272,WW23_G-10,ENTRY 10,Anthesis (DAP),102.0,100.0,CIOB2301 WH ROOTS ANATOMY,3,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
273,WW23_G-10,ENTRY 10,Maturity (DAP),142.0,142.0,CIOB2301 WH ROOTS ANATOMY,4,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
274,WW23_G-10,ENTRY 10,Product wt (kg dm/ha;no loss),7538.0,6697.0,CIOB2301 WH ROOTS ANATOMY,5,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
275,WW23_G-10,ENTRY 10,Product unit weight (g dm),0.05,0.045,CIOB2301 WH ROOTS ANATOMY,6,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
276,WW23_G-10,ENTRY 10,Product number (no/m2),15046.0,15046.0,CIOB2301 WH ROOTS ANATOMY,7,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
278,WW23_G-10,ENTRY 10,Product harvest index (ratio),0.49,0.46,CIOB2301 WH ROOTS ANATOMY,9,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
